"TFName","timepoint","expression_direction","n_observations","pearson_r","pearson_p_value","spearman_rho","spearman_p_value","pearson_p_adj","spearman_p_adj","abs_pearson_r","abs_spearman_rho"
"HOXA1","day_0","negative_expression",80,0.214908164566907,0.0555719298325405,0.420425249877389,0.000103269288233013,0.538599926749775,0.00639409009642737,0.214908164566907,0.420425249877389
"HOXB5","day_0","negative_expression",57,0.251138146421673,0.0595152027603081,0.479179332418917,0.000162597015884213,0.552747445636362,0.0092930448309208,0.251138146421673,0.479179332418917
"KLF16","day_0","negative_expression",91,0.243068966479484,0.0202539060142353,0.342896145728181,0.000876970406174708,0.342014822013109,0.040724313236738,0.243068966479484,0.342896145728181
"TFEB","day_1","negative_expression",85,-0.169338567774454,0.121304669930926,-0.400133570628962,0.000148102133381127,0.797993629835823,0.0092316996474236,0.169338567774454,0.400133570628962
"FOSL1::JUN","day_1","negative_expression",91,-0.240036816983437,0.0219191168084167,-0.341367872665026,0.000927995927654381,0.528887076538571,0.0456833041487313,0.240036816983437,0.341367872665026
"Ptf1A","day_1","negative_expression",165,-0.247672077648388,0.00133968159628323,-0.256924317046601,0.000864527261195121,0.200416366803971,0.0456833041487313,0.247672077648388,0.256924317046601
"TFAP4","day_1","negative_expression",152,-0.029382043015238,0.719345670944485,-0.264818447289353,0.00097718297644345,0.960840289047276,0.0456833041487313,0.029382043015238,0.264818447289353
"EBF3","day_1","positive_expression",99,-0.268388878476616,0.00723153093587903,-0.376532187790443,0.00012241432007286,0.424047148051319,0.00801257367749631,0.268388878476616,0.376532187790443
"Ebf2","day_1","positive_expression",88,-0.284435482391186,0.0072354867983694,-0.377539733053627,0.000287658945744671,0.424047148051319,0.0159318800720125,0.284435482391186,0.377539733053627
"TFAP2A","day_7","negative_expression",327,-0.203185201994114,0.000216610600297223,-0.253246615959388,3.52175357368529e-06,0.0157475906416081,0.000256031484806921,0.203185201994114,0.253246615959388
"HOXB1","day_7","negative_expression",83,-0.422721729506806,6.8599957836746e-05,-0.470218895698165,7.27955349821486e-06,0.0055413521497016,0.000481112308472927,0.422721729506806,0.470218895698165
"TFAP2E","day_7","negative_expression",280,-0.207694753848989,0.000468633940817112,-0.240439913623305,4.80069265782048e-05,0.024928554237865,0.00268469504787345,0.207694753848989,0.240439913623305
"ETV5::FOXO1","day_7","negative_expression",76,-0.328634071257652,0.00375010575630998,-0.415002238607152,0.00019336389924102,0.0836815792403525,0.00826915027930714,0.328634071257652,0.415002238607152
"MEOX1","day_7","negative_expression",60,-0.327182629381305,0.0107203086048357,-0.464421037813664,0.000185510432882508,0.134133564617784,0.00826915027930714,0.327182629381305,0.464421037813664
"TFAP2C","day_7","negative_expression",298,-0.172593434477294,0.00279555276287854,-0.208842656740128,0.000283266612160799,0.0753300123432641,0.0114408237244945,0.172593434477294,0.208842656740128
"TCFL5","day_7","negative_expression",135,-0.344180008624264,4.36194712088993e-05,-0.303391412077173,0.000347558596377103,0.00528522592814496,0.0126458538647383,0.344180008624264,0.303391412077173
"LHX6","day_7","negative_expression",53,-0.423426243950737,0.0015823534300247,-0.466170980991199,0.000434680362105633,0.0639094968682199,0.0150482201547998,0.423426243950737,0.466170980991199
"ESX1","day_7","negative_expression",57,-0.251439842357585,0.0591996870820368,-0.443806495637547,0.000544305433928143,0.311287149847972,0.0179868204757163,0.251439842357585,0.443806495637547
"MEOX2","day_7","negative_expression",72,-0.301283614794446,0.0101173774959162,-0.392953984399679,0.000639169718336714,0.130407464953239,0.019361516051283,0.301283614794446,0.392953984399679
"VAX1","day_7","negative_expression",64,-0.308578154399895,0.0131074046613169,-0.404577039411264,0.000913758901013505,0.142225122220558,0.0229069903805799,0.308578154399895,0.404577039411264
"HOXA5","day_7","negative_expression",60,-0.210142121524753,0.107056848253259,-0.406313241186903,0.00127623801773247,0.406371700752389,0.029929839964242,0.210142121524753,0.406313241186903
"KLF2","day_7","negative_expression",221,-0.182330703495562,0.00656796550058632,-0.206989345052772,0.00197986273404314,0.125655550498059,0.0392783138841177,0.182330703495562,0.206989345052772
"HOXA4","day_7","negative_expression",150,-0.202211533521807,0.013081281716949,-0.244411018672378,0.00257639859129459,0.142225122220558,0.0425691312697992,0.202211533521807,0.244411018672378
"TFEB","day_7","negative_expression",71,-0.304532123305087,0.0098192136517943,-0.345964489580607,0.00312419616353406,0.130407464953239,0.0473185543935263,0.304532123305087,0.345964489580607
"Zic1::Zic2","day_7","negative_expression",82,-0.294760573716294,0.00718386717474603,-0.322668092414521,0.00311110685779476,0.130407464953239,0.0473185543935263,0.294760573716294,0.322668092414521
"ZNF175","day_7","positive_expression",119,-0.336164665185204,0.000185636921046507,-0.356400559956334,6.94137342192389e-05,0.0195714353903317,0.00512273358537983,0.336164665185204,0.356400559956334
"Ikzf3","day_7","positive_expression",133,-0.299482110197335,0.000461907739451291,-0.331151100193341,9.88446460842199e-05,0.0340887911715053,0.00663157716455948,0.299482110197335,0.331151100193341
"ETV1","day_7","positive_expression",156,-0.296610216542624,0.000170025527001657,-0.304440058046115,0.000111543222717809,0.0195714353903317,0.00685990819714526,0.296610216542624,0.304440058046115
"GABPA","day_7","positive_expression",117,-0.290491525759355,0.00148696231549042,-0.340623888642374,0.000171364249459211,0.0599721873637904,0.00972821662314599,0.290491525759355,0.340623888642374
"ETV2::FOXI1","day_7","positive_expression",136,-0.301041832326035,0.000369027501066087,-0.312377358918491,0.000213585876439059,0.0340427869733465,0.0112590269151447,0.301041832326035,0.312377358918491
"FOXO1::ELK1","day_7","positive_expression",78,-0.380391630322894,0.000591684776357777,-0.403091559249678,0.000253135203469589,0.0353114836396562,0.0124542520107038,0.380391630322894,0.403091559249678
"ELF1","day_7","positive_expression",127,-0.294513095621704,0.000776482345553765,-0.314265164894229,0.000320454756801853,0.0382029314012453,0.0133239618501143,0.294513095621704,0.314265164894229
"ETV4","day_7","positive_expression",176,-0.255457133543815,0.000622018004492588,-0.263104075980289,0.000418769985927146,0.0353114836396562,0.0162659078744334,0.255457133543815,0.263104075980289
"ETS1","day_7","positive_expression",180,-0.243732948587932,0.000976866798258469,-0.257064172114015,0.000494758011158479,0.0450579810696719,0.0174947499499512,0.243732948587932,0.257064172114015
"ZNF384","day_7","positive_expression",83,-0.28197307328257,0.00980675214720073,-0.37390007143023,0.000497818088006742,0.178373332855581,0.0174947499499512,0.28197307328257,0.37390007143023
"Erg","day_7","positive_expression",142,-0.255775354326942,0.00212453671959565,-0.273248004065027,0.00100119045847646,0.071268549957345,0.0295551423342252,0.255775354326942,0.273248004065027
"FOXJ2::ELF1","day_7","positive_expression",148,-0.192268035921628,0.019227261887352,-0.255168605359898,0.00174854149719553,0.221714363638528,0.0496316778819346,0.192268035921628,0.255168605359898
